Ngày,NỘI DUNG/CHƯƠNG TRÌNH,Tình trạng,Tình trạng thực hiện,Lý do hoãn/hủy/ghi chú,ĐƠN VỊ
2,An toàn phòng mổ,Thực hiện,Thực hiện,,Trung tâm Gây mê hồi sức
4,Kỹ thuật nhuộm PAS và PAS-D,Thực hiện,Thực hiện,,Khoa Giải phẫu bệnh - Tế bào học
4,Cập nhật chẩn đoán và điều trị bệnh gan nhiễm mỡ,Thực hiện,Thực hiện,,Khoa khám bệnh/Dinh dưỡng/Mắt
4,Nhận định kết quả nuôi cấy dịch vô trùng,Thực hiện,Thực hiện,,Khoa Vi sinh
4,"Khai mạc lớp Văn hóa an toàn và chăm sóc NB toàn diện
Tổng quan về hoạt động điều dưỡng theo quy định thông tư 31/2021/TT-BYT",Thực hiện,Thực hiện,Làm post test vào cuối khóa học,Phòng Điều dưỡng
5,"Cập nhật các xét nghiệm di truyền trong các trường hợp sảy thai, thai lưu liên tiếp",Thực hiện,Thực hiện,,Trung tâm Di truyền
5,"Bình bệnh án trẻ sơ sinh non tháng 26w ""Vũ Ngọc Đoàn""",Thực hiện,Thực hiện,Không làm post test,Khoa Sơ sinh
5,Chẩn đoán hình ảnh thoái hóa khớp háng,Thực hiện,Thực hiện,,TT Chẩn đoán hình ảnh và Thăm dò chức năng
5,"SIÊU ÂM (1/5): Siêu âm hướng dẫn cai thở máy ở bệnh nhân hồi sức - Siêu âm hướng dẫn bù dịch ở bệnh nhân hồi sức
Siêu âm hướng dẫn cai thở máy ở bệnh nhân hồi sức
Siêu âm hướng dẫn bù dịch ở bệnh nhân hồi sức",Không thực hiện,Không thực hiện,,Trung tâm Hồi sức cấp cứu
6,Một số kiến thức về vị thuốc nam thường dùng,Thực hiện,Thực hiện,,PKĐK ĐH Phenikaa Hoàng Ngân 
6,"Bệnh uốn ván, uốn ván sơ sinh và vắc xin phòng bệnh",Thực hiện,Thực hiện,,Trung tâm Tiêm chủng
7,Vai trò xét nghiệm Apolipoprotein trong đánh giá nguy cơ tim mạch,Thực hiện,Thực hiện,,Khoa Hoá sinh- Huyết học
7,Biến chứng liên quan đến truyền tĩnh mạch ngoại vi và cách phòng ngừa.,Thực hiện,Thực hiện,,Khoa Sản/Khoa Phụ/TT Y học bào thai
7,Quy trình chăm sóc người bệnh đột quỵ,Thực hiện,Thực hiện,,Trung tâm Phục hồi chức năng
7,Hướng dẫn tập vận động sau phẫu thuật ung thư vú,Thực hiện,Thực hiện,,Trung tâm Ung bướu
7,Cập nhật chẩn đoán và điều trị bệnh phổi tắc nghẽn mãn tính theo YHCT kết hợp YHHĐ,Thực hiện,Thực hiện,,Trung tâm Y học cổ truyền
7,Tổ chức cấp cứu ngừng tuần hoàn trong buổi lọc máu,Thực hiện,Thực hiện,,Khoa Thận Nhân tạo
7,"Vai trò của chỉ số ABI, CAVI trong bệnh động mạch chi dưới",Thực hiện,Thực hiện,,Trung tâm Tim mạch
7,Hành trình lưu giữ tế bào gốc,Thực hiện,Thực hiện,,Trung tâm Tế bào gốc và Ngân hàng mô
7,"Kháng sinh ở đơn vị hồi sức tích cực - ND1: Cập nhật danh mục thuốc kháng sinh, kháng nấm dùng tại bệnh viện, so sánh danh mục thuốc kháng sinh nội/ngoại trú",Thực hiện,Thực hiện,,Khoa Dược
7,Kháng sinh ở đơn vị hồi sức tích cực - ND2: Cập nhật thông tin an toàn thuốc,Thực hiện,Thực hiện,,Khoa Dược
7,Kỹ thuật Thắt động mạch bướm khẩu cái dưới nôi soi,Thực hiện,Thực hiện,,Khoa Tai Mũi Họng
7,"HỒI SỨC TIM MẠCH (5/6): Dự phòng huyết khối tĩnh mạch sâu cho người bệnh Hồi sức - Chăm sóc người bệnh dùng máy tạo nhịp tạm thời
Dự phòng huyết khối tĩnh mạch sâu cho người bệnh Hồi sức
Chăm sóc người bệnh dùng máy tạo nhịp tạm thời",Không thực hiện,Không thực hiện,,Trung tâm Hồi sức cấp cứu
8,Kỹ thuật thay băng vết thương thông thường,Thực hiện,Thực hiện,,Khoa Nội tổng hợp
8,Quy trình mang và tháo khẩu trang,Thực hiện,Thực hiện,,LCK RHM- Mắt
8,Sử dụng phương tiện phòng hộ cá nhân,Thực hiện,Thực hiện,,Khoa KSNK
8,Xét nghiệm dị ứng ,Thực hiện,Thực hiện,,Khoa Nhi
9,Cập nhật chẩn đoán và điều trị Nhiễm khuẩn đường ruột ở trẻ em,Thực hiện,Thực hiện,,Đơn nguyên HSCC Nhi
9,Chăm sóc người bệnh sau mổ cắt toàn bộ dạ dày,Thực hiện,Thực hiện,,Khoa Ngoại Tổng hợp
9,Xét nghiệm sàng lọc trước chuyển phôi cho chuyển đoạn nhiễm sắc thể,Thực hiện,Thực hiện,,Trung tâm Di truyền
9,"Theo dõi, đánh giá người bệnh sau phẫu thuật tại PACU",Thực hiện,Thực hiện,,Trung tâm Gây mê hồi sức
12,Chẩn đoán hình ảnh thoái hóa khớp cổ chân,Thực hiện,Thực hiện,,TT Chẩn đoán hình ảnh và Thăm dò chức năng
12,"SIÊU ÂM (2/5): Kỹ năng siêu âm cơ bản từ đầu đến chân dành cho các bác sĩ chuyên khoa HSTC - Hiệp hội Y học Chăm sóc Tích cực Châu Âu năm 2025 - Ca lâm sàng
Kỹ năng siêu âm cơ bản từ đầu đến chân dành cho các bác sĩ chuyên khoa HSTC - Hiệp hội Y học Chăm sóc Tích cực Châu Âu năm 2025
Ca lâm sàng",Không thực hiện,Không thực hiện,,Trung tâm Hồi sức cấp cứu
13,Hiểu về khớp ngậm và bài tập phục hồi chức năng khoang miệng cho trẻ sinh non,Thực hiện,Thực hiện,Thay đổi nội dung bài giảng phù hợp về tính cấp thiết,Khoa Sơ sinh
13,Kỹ năng giao tiếp ứng xử,Thực hiện,Thực hiện,,Phòng Điều dưỡng
13,"Lập kế hoạch, thực hiện và đánh giá truyền thông GDSK",Thực hiện,Thực hiện,,Phòng Điều dưỡng
13,Cập nhật các biện pháp phòng ngừa cách ly trong bệnh viện,Thực hiện,Thực hiện,,Khoa KSNK
13,PHCN người bệnh tổn thương tủy sống,Thực hiện,Thực hiện,,Trung tâm Phục hồi chức năng
13,Các loại vắc xin cần thiết cho phụ nữ trong thời kỳ mang thai,Thực hiện,Thực hiện,,Trung tâm Tiêm chủng
13,Viêm tuyến giáp tự miễn ở trẻ em,Thực hiện,Thực hiện,,Khoa Nhi
13,Chẩn đoán và điều trị suy giáp,Thực hiện,Thực hiện,Hoãn từ ngày 11/5/2026 do ngày 13/5 bs dd tham gia đào tạo bệnh viện ,Khoa khám bệnh/Dinh dưỡng/Mắt
13,Quy trình kĩ thuật xử lý ống nội soi theo tiêu chuẩn JCI,Thực hiện,Thực hiện,,Trung tâm Tiêu hóa
14,Cấy chỉ điều trị viêm mũi dị ứng,Thực hiện,Thực hiện,,Trung tâm Y học cổ truyền
14,Tổng quan về bộ JCI Version 8,Thực hiện,Thực hiện,,Trung tâm Hỗ trợ sinh sản
14,Chăm sóc NB mắc hội chứng thận hư,Thực hiện,Thực hiện,,Khoa Nội tổng hợp
14,Cập nhật các hướng dẫn mới trong sàng lọc và dự phòng dọa đẻ non,Thực hiện,Thực hiện,,Khoa Sản/Khoa Phụ/TT Y học bào thai
14,Chăm sóc người bệnh sau sinh thiết u gan,Thực hiện,Thực hiện,,Trung tâm Ung bướu
14,TỔNG QUAN VỀ BỆNH THẬN MẠN TÍNH VÀ CÁC PHƯƠNG PHÁP ĐIỀU TRỊ THAY THẾ THẬN,Thực hiện,Thực hiện,,Khoa Thận Nhân tạo
14,Chăm sóc người bệnh bệnh van hai lá,Thực hiện,Thực hiện,,Trung tâm Tim mạch
14,Kháng sinh ở đơn vị hồi sức tích cực - ND3: Sử dụng kháng sinh trong nhiễm khuẩn gram (-) đa kháng và kháng sinh trong ICU: phác đồ điều trị và phân tích ca lâm sàng,Thực hiện,Thực hiện,,Khoa Dược
14,"ND4: Shingrix - Vắc xin ngừa Herpes Zoster (HZ, hoặc bệnh Zona - tái tổ hợp bất hoạt, được bổ trợ với AS01B). ",Thực hiện,Thực hiện,Bài đào tạo bổ sung của hãng,Khoa Dược
14,Tâm lý người bệnh,Thực hiện,Thực hiện,,Phòng Điều dưỡng
14,Đào tạo thực hiện giáo dục sức khỏe cho NB và thân nhân,Thực hiện,Thực hiện,,Phòng Điều dưỡng
14,Quản lý cảm xúc và giải tỏa stress ở người trẻ,Thực hiện,Thực hiện,,PKĐK ĐH Phenikaa Hoàng Ngân 
14,"HỒI SỨC TIM MẠCH (6/6): Chăm sóc NB Hồi sức sau phẫu thuật tim mở - Phòng ngừa biến chứng sau phẫu thuật tim
Chăm sóc NB Hồi sức sau phẫu thuật tim mở
Phòng ngừa biến chứng sau phẫu thuật tim",Không thực hiện,Không thực hiện,,Trung tâm Hồi sức cấp cứu
14,Các giai đoạn trưởng thành của dòng hồng cầu và đặc điểm hình thái bất thường trong một số bệnh thường gặp,Thực hiện,Thực hiện,,Khoa Hoá sinh- Huyết học
14,Bình hồ sơ bệnh án chăm sóc ,Thực hiện,Thực hiện,,Khoa Phụ
15,Chuẩn bị người bệnh trước phẫu thuật ,Thực hiện,Thực hiện,,LCK RHM- Mắt
15,Cập nhật chẩn đoán và điều trị chấn thương vết thương bụng,Thực hiện,Thực hiện,,Khoa Ngoại Tổng hợp
15,Hướng dẫn thực hiện thang điểm đánh giá nguy cơ ngã Humpty Dumpty cập nhật mới,Thực hiện,Thực hiện,,Khoa Nhi
15,Điều trị ung thư phổi không tế bào nhỏ đơn trị với atezolizumab - có gì mới?,Thực hiện,Thực hiện,,Trung tâm Ung bướu
15,Hiệu quả điều trị của Rituximab trong u lympho không Hodgkin,Thực hiện,Thực hiện,,Trung tâm Ung bướu
15,Phân loại người bệnh cấp cứu,Thực hiện,Thực hiện,,Trung tâm Hồi sức cấp cứu
15,Tập nằm đúng tư thế cho người bệnh liệt nửa người,Thực hiện,Thực hiện,,Phòng Điều dưỡng
15,Dược động học các thuốc GMHS (tiếp),Thực hiện,Thực hiện,"Chuyển từ 21/05 sang 15/05, đã hoàn thành",Trung tâm Gây mê hồi sức
16,Tổng quan về Liệu pháp tế bào miễn dịch tự thân (AIET),Thực hiện,Thực hiện,,Trung tâm Tế bào gốc và Ngân hàng mô
16,Cập nhật chẩn đoán và điều trị Scholein Henoch ở trẻ em,Thực hiện,Thực hiện,,Đơn nguyên HSCC Nhi
16,Cập nhật các xét nghiệm di truyền trong vô sinh nữ,Thực hiện,Thực hiện,,Trung tâm Di truyền
18,Nghe kém trẻ em,Thực hiện,Thực hiện,,Khoa Tai Mũi Họng
18,Nhận định kết quả nuôi cấy mủ,Thực hiện,Thực hiện,,Khoa Vi sinh
18,Tối ưu hóa liều tiêm FDG-18 cho kỹ thuật chụp PET/CT toàn thân,Thực hiện,Thực hiện,,Trung tâm Ung bướu
19,Hướng dẫn xử lý ống soi và dụng cụ nội soi,Thực hiện,Thực hiện,,Khoa KSNK
19,Một số lỗi thường gặp trong lấy mẫu xét nghiệm,Thực hiện,Thực hiện,,Phòng Điều dưỡng
19,Chẩn đoán hình ảnh khớp khuỷu,Thực hiện,Thực hiện,,TT Chẩn đoán hình ảnh và Thăm dò chức năng
19,"SIÊU ÂM (3/5): Đánh giá chức năng tâm trương thất trái ở bệnh nhân ICU - Ca lâm sàng
Đánh giá chức năng tâm trương thất trái ở bệnh nhân ICU
Ca lâm sàng",Không thực hiện,Không thực hiện,,Trung tâm Hồi sức cấp cứu
20,Nguyên lí kích thích buồng trứng,Thực hiện,Thực hiện,,Trung tâm Hỗ trợ sinh sản
20,Viêm ruột hoại tử ở trẻ Sơ sinh,Thực hiện,Thực hiện,,Khoa Sơ sinh
20,Kỹ năng giao tiếp với đồng nghiệp,Thực hiện,Thực hiện,,Phòng Điều dưỡng
20,"Quy trình lấy mẫu, bảo quản mẫu và thời gian trả kết quả xét nghiệm",Thực hiện,Thực hiện,,PKĐK ĐH Phenikaa Hoàng Ngân 
20,PHCN ngôn ngữ,Thực hiện,Thực hiện,,Trung tâm Phục hồi chức năng
20,Dịch tễ học bệnh tả và vắc xin mOrcvax. Lịch sử phát triển và khuyến cáo,Thực hiện,Thực hiện,,Trung tâm Tiêm chủng
20,Nhận định kết quả nuôi cấy nước tiểu ,Thực hiện,Thực hiện,SHCM thực hành nên không có link báo cáo,Khoa Vi sinh
20,Tầm soát ung thư vú- Cập nhật từ các khuyến cáo,Thực hiện,Thực hiện,,Trung tâm Ung bướu
21,Gói chăm sóc viêm tĩnh mạch,Thực hiện,Thực hiện,,Khoa Phụ
21,"Phụ bs thực hiện thủ thuật điều trị hạt cơm bằng laser CO2, điều trị sẹo lồi bằng TRIAMINONONE,  trích rạch áp xe",Thực hiện,Thực hiện,,Khoa khám bệnh/Dinh dưỡng/Mắt
21,Kháng sinh trong bệnh lý hô hấp,Không thực hiện,Không thực hiện,,Khoa Nội tổng hợp
21,Tư vấn nuôi con bằng sữa mẹ,Thực hiện,Thực hiện,,Khoa Sản/Khoa Phụ/TT Y học bào thai
21,Quy trình gửi mẫu labo nha khoa tại Liên chuyên khoa,Thực hiện,Thực hiện,,LCK RHM- Mắt
21,Đánh giá và chăm sóc vết loét tỳ đè,Thực hiện,Thực hiện,,Trung tâm Y học cổ truyền
21,Chẩn đoán và xử trí sốc phản vệ trong thực hành lâm sàng,Thực hiện,Thực hiện,,Khoa Thận Nhân tạo
21,Siêu âm đánh giá hở van động mạch chủ,Thực hiện,Thực hiện,,Trung tâm Tim mạch
21,Viêm dạ dày - tá tràng HP (+),Thực hiện,Thực hiện,,Khoa Nhi
21,"Kháng sinh ở đơn vị hồi sức tích cực - ND4: Phân tích danh mục thuốc cận hạn, chậm luân chuyển nội/ngoại trú tại BV ĐH Phenikaa, so sánh biến động danh mục cận hạn, CLC hàng quý năm 2025-2026",Thực hiện,Thực hiện,"Hoãn đổi sang ngày 21/05, do bổ sung thêm bài đào tạo của hãng",Khoa Dược
21,Kháng sinh ở đơn vị hồi sức tích cực - ND5: Sử dụng kháng sinh trong sơ sinh và nhi khoa: phác đồ điều trị và phân tích ca lâm sàng,Thực hiện,Thực hiện,,Khoa Dược
21,HbA1C: một số lưu ý trong chẩn đoán và theo dõi điều trị bệnh lý Đái tháo đường,Thực hiện,Thực hiện,,Khoa Hoá sinh- Huyết học
21,Biến chứng liên quan đến truyền tĩnh mạch ngoại vi và cách phòng ngừa,Thực hiện,Thực hiện,,Phòng Điều dưỡng
21,Vệ sinh khử khuẩn bề mặt (Bài 1),Thực hiện,Thực hiện,,Phòng Điều dưỡng
22,"Dinh dưỡng cho người bệnh mắc 1 số bệnh mạn tính (Tiểu đường, tim mạch, COPD)",Thực hiện,Thực hiện,,Phòng Điều dưỡng
22,Vệ sinh khử khuẩn bề mặt (Bài 2),Thực hiện,Thực hiện,,Phòng Điều dưỡng
22,Xử trí bệnh nhân sốc nhiễm trùng,Thực hiện,Thực hiện,,Trung tâm Tiêu hóa
22,Điện tim cơ bản ở trẻ em,Thực hiện,Thực hiện,,Đơn nguyên HSCC Nhi
22,GDSK người bệnh có hậu môn nhân tạo,Thực hiện,Thực hiện,,Khoa Ngoại Tổng hợp
22,Nhận định kết quả nuôi cấy đờm và dịch rửa phế quản ,Thực hiện,Thực hiện,SHCM thực hành nên không có slide báo cáo,Khoa Vi sinh
22,Khuyến cáo chuyển phôi khảm,Thực hiện,Thực hiện,,Trung tâm Hỗ trợ sinh sản
23,Ứng dụng của phương pháp phân tích di truyền liên kết trong chẩn đoán bệnh di truyền hiếm,Thực hiện,Thực hiện,,Trung tâm Di truyền
23,Kỹ thuật xử lý máu dây rốn (giai đoạn 2),Thực hiện,Thực hiện,,Trung tâm Tế bào gốc và Ngân hàng mô
25,Papilloma thanh quản,Thực hiện,Thực hiện,,Khoa Tai Mũi Họng
25,Phân loại Sydney trong viêm niêm mạc dạ dày mạn tính,Thực hiện,Thực hiện,,Khoa Giải phẫu bệnh - Tế bào học
25,Nhận định kết quả nuôi cấy dịch tỷ hầu và dịch mủ mũi xoang,Thực hiện,Thực hiện,,Khoa Vi sinh
25,Đại cương 1 số bệnh dị ứng- miễn dịch,Thực hiện,Thực hiện,,Khoa khám bệnh/Dinh dưỡng/Mắt
25,5S trong bệnh viện (Bài 1),Thực hiện,Thực hiện,,Phòng Điều dưỡng
26,Chăm sóc trẻ nhi tiêu chảy cấp,Thực hiện,Thực hiện,,Khoa Nhi
26,5S trong bệnh viện (Bài 2),Thực hiện,Thực hiện,,Phòng Điều dưỡng
26,Chẩn đoán hình ảnh khớp cổ tay,Thực hiện,Thực hiện,,TT Chẩn đoán hình ảnh và Thăm dò chức năng
26,"SIÊU ÂM (4/5): Triple Scan trong tắc mạch phổi cấp - ESICM — Sự đồng thuận của chuyên gia quốc tế ESPNIC về siêu âm phổi định lượng trong chăm sóc đặc biệt
Triple Scan trong tắc mạch phổi cấp
ESICM - Sự đồng thuận của chuyên gia quốc tế ESPNIC về siêu âm phổi định lượng trong chăm sóc đặc biệt",Không thực hiện,Không thực hiện,,Trung tâm Hồi sức cấp cứu
27,"Kiểm soát chất lượng tiệt trùng máy hấp, kiểm soát chất lượng tiệt trùng dụng cụ",Thực hiện,Thực hiện,,Khoa KSNK
27,Quy trình hút đờm NB Mở khí quản,Thực hiện,Thực hiện,,Khoa Tai Mũi Họng
27,Lấy mẫu bệnh phẩm Vi sinh (Buổi 1),Thực hiện,Thực hiện,,Khoa Vi sinh
27,Chụp tử cung vòi trứng,Thực hiện,Thực hiện,,Trung tâm Hỗ trợ sinh sản
27,Ứng dụng của dấu ấn PHOX2B trong chẩn đoán giải phẫu bệnh.,Thực hiện,Thực hiện,,Khoa Giải phẫu bệnh - Tế bào học
27,Xử trí ngộ độc thuốc tê,Thực hiện,Thực hiện,,PKĐK ĐH Phenikaa Hoàng Ngân 
27,PHCN sau thay khớp háng,Thực hiện,Thực hiện,,Trung tâm Phục hồi chức năng
27,Tiêm chủng cho trẻ tiền học đường và vị thành niên. Vì sao lại quan trọng?,Thực hiện,Thực hiện,,Trung tâm Tiêm chủng
28,"Chẩn đoán, điều trị và chăm sóc NB áp xe vú",Thực hiện,Thực hiện,,Khoa Phụ
28,Bàn giao NB theo mô hình ISBARR,Thực hiện,Thực hiện,,Khoa Phụ
28,Cách tiêm và bảo quản thuốc kích trứng trong HTSS,Thực hiện,Thực hiện,,Trung tâm Hỗ trợ sinh sản
28,"Quy trình lưu trữ, bảo quản, và vận hành phòng Sữa mẹ thanh trùng",Thực hiện,Thực hiện,,Khoa Sơ sinh
28,Chuẩn bị người bệnh trước đốt sóng cao tần u tuyến giáp,Thực hiện,Thực hiện,,Trung tâm Ung bướu
28,"Theo dõi, đánh giá và xử trí ngộ độc thuốc tê",Thực hiện,Thực hiện,,Trung tâm Gây mê hồi sức
28,Chăm sóc NB thủy đậu,Thực hiện,Thực hiện,,Khoa Nội tổng hợp
28,"Chẩn đoán, điều trị và chăm sóc Abcess vú",Thực hiện,Thực hiện,,Khoa Sản/Khoa Phụ/TT Y học bào thai
28,Chuẩn hóa theo dõi người bệnh uống thuốc làm sạch đại tràng trước nội soi bằng phiếu theo dõi điện tử,Thực hiện,Thực hiện,,Trung tâm Tiêu hóa
28,Sinh lý bệnh các tạng phủ dưới nhãn quan Y học hiện đại,Thực hiện,Thực hiện,,Trung tâm Y học cổ truyền
28,Chăm sóc người bệnh đột quỵ,Thực hiện,Thực hiện,,Trung tâm Tim mạch
28,Kháng sinh ở đơn vị hồi sức tích cực - ND6: Kết quả phân tích đơn thuốc kháng sinh cho BN ngoại trú,Thực hiện,Thực hiện,,Khoa Dược
28,Kháng sinh ở đơn vị hồi sức tích cực - ND7: Tập huấn Quy trình: Quản lý Kho Dược bệnh viện; Quản lý thuốc kiểm soát đặc biệt; Cấp phát và hoàn trả thuốc giữa khoa dược và khoa lâm sàng,Thực hiện,Thực hiện,,Khoa Dược
28,Các giai đoạn trưởng thành của dòng bạch cầu và đặc điểm hình thái trong một số bệnh thường gặp,Thực hiện,Thực hiện,,Khoa Hoá sinh- Huyết học
28,Văn hóa an toàn Bệnh viện - Nhân diện sự cố,Thực hiện,Thực hiện,,Phòng Điều dưỡng
28,"Kiểm tra cuối khóa, bế mạc",Thực hiện,Thực hiện,,Phòng Điều dưỡng
29,Đau và kiểm soát đau,Thực hiện,Thực hiện,,LCK RHM- Mắt
29,Cập nhật chẩn đoán và điều trị co thắt tâm vị,Thực hiện,Thực hiện,,Khoa Ngoại Tổng hợp
29,Cập nhật trong chăm sóc vết thương,Thực hiện,Thực hiện,,Phòng Điều dưỡng
29,Gây mê trẻ em trong chụp MRI: Vai trò của propofol và thiết bị kiểm soát đường thở,Thực hiện,Thực hiện,,Trung tâm Gây mê hồi sức
30,Cập nhật chẩn đoán và điều trị Xuất huyết tiêu hóa ở trẻ em,Thực hiện,Thực hiện,,Đơn nguyên HSCC Nhi
30,Kỹ thuật xét nghiệm Đếm số lượng Tế bào gốc tạo máu CD34+,Thực hiện,Thực hiện,,Trung tâm Tế bào gốc và Ngân hàng mô
30,Cập nhật quy trình chẩn đoán cho các trường hợp sàng lọc trước sinh nguy cơ cao,Thực hiện,Thực hiện,,Trung tâm Di truyền
